entity_type,entity_id,zone_id,date,anomaly_type
bin,AMD-BIN-0322,AMD-Z-18,2025-09-01,composition_shift
bin,AMD-BIN-0333,AMD-Z-19,2025-09-01,overnight_dumping
bin,AMD-BIN-0140,AMD-Z-07,2025-09-01,composition_shift
bin,AMD-BIN-0582,AMD-Z-32,2025-09-01,composition_shift
bin,AMD-BIN-0593,AMD-Z-33,2025-09-01,collection_gap
bin,AMD-BIN-0468,AMD-Z-26,2025-09-01,collection_gap
bin,AMD-BIN-0191,AMD-Z-10,2025-09-01,illegal_dumping_spike
bin,AMD-BIN-0576,AMD-Z-32,2025-09-01,illegal_dumping_spike
bin,AMD-BIN-0322,AMD-Z-18,2025-09-02,composition_shift
bin,AMD-BIN-0216,AMD-Z-12,2025-09-02,collection_gap
bin,AMD-BIN-0315,AMD-Z-18,2025-09-02,composition_shift
bin,AMD-BIN-0333,AMD-Z-19,2025-09-02,overnight_dumping
bin,AMD-BIN-0140,AMD-Z-07,2025-09-02,composition_shift
bin,AMD-BIN-0025,AMD-Z-02,2025-09-02,composition_shift
bin,AMD-BIN-0485,AMD-Z-27,2025-09-02,illegal_dumping_spike
bin,AMD-BIN-0422,AMD-Z-23,2025-09-02,collection_gap
bin,AMD-BIN-0008,AMD-Z-01,2025-09-02,composition_shift
bin,AMD-BIN-0593,AMD-Z-33,2025-09-02,collection_gap
bin,AMD-BIN-0431,AMD-Z-24,2025-09-02,composition_shift
bin,AMD-BIN-0382,AMD-Z-21,2025-09-02,illegal_dumping_spike
bin,AMD-BIN-0044,AMD-Z-02,2025-09-02,illegal_dumping_spike
bin,AMD-BIN-0468,AMD-Z-26,2025-09-02,collection_gap
bin,AMD-BIN-0191,AMD-Z-10,2025-09-02,illegal_dumping_spike
bin,AMD-BIN-0359,AMD-Z-20,2025-09-02,illegal_dumping_spike
bin,AMD-BIN-0411,AMD-Z-23,2025-09-02,overnight_dumping
bin,AMD-BIN-0576,AMD-Z-32,2025-09-02,illegal_dumping_spike
bin,AMD-BIN-0471,AMD-Z-26,2025-09-02,illegal_dumping_spike
bin,AMD-BIN-0403,AMD-Z-22,2025-09-03,overnight_dumping
bin,AMD-BIN-0322,AMD-Z-18,2025-09-03,composition_shift
bin,AMD-BIN-0216,AMD-Z-12,2025-09-03,collection_gap
bin,AMD-BIN-0538,AMD-Z-30,2025-09-03,collection_gap
bin,AMD-BIN-0386,AMD-Z-21,2025-09-03,overnight_dumping
bin,AMD-BIN-0471,AMD-Z-26,2025-09-03,festival_overload
bin,AMD-BIN-0140,AMD-Z-07,2025-09-03,composition_shift
bin,AMD-BIN-0421,AMD-Z-23,2025-09-03,festival_overload
bin,AMD-BIN-0422,AMD-Z-23,2025-09-03,collection_gap
bin,AMD-BIN-0075,AMD-Z-04,2025-09-03,repeated_overflow
bin,AMD-BIN-0382,AMD-Z-21,2025-09-03,illegal_dumping_spike
bin,AMD-BIN-0042,AMD-Z-02,2025-09-03,collection_gap
bin,AMD-BIN-0468,AMD-Z-26,2025-09-03,collection_gap
bin,AMD-BIN-0411,AMD-Z-23,2025-09-03,overnight_dumping
bin,AMD-BIN-0068,AMD-Z-04,2025-09-03,illegal_dumping_spike
bin,AMD-BIN-0120,AMD-Z-06,2025-09-03,composition_shift
bin,AMD-BIN-0385,AMD-Z-21,2025-09-03,illegal_dumping_spike
bin,AMD-BIN-0349,AMD-Z-19,2025-09-04,repeated_overflow
bin,AMD-BIN-0216,AMD-Z-12,2025-09-04,collection_gap
bin,AMD-BIN-0086,AMD-Z-04,2025-09-04,collection_gap
bin,AMD-BIN-0142,AMD-Z-08,2025-09-04,festival_overload
bin,AMD-BIN-0453,AMD-Z-25,2025-09-04,illegal_dumping_spike
bin,AMD-BIN-0529,AMD-Z-29,2025-09-04,festival_overload
bin,AMD-BIN-0538,AMD-Z-30,2025-09-04,collection_gap
bin,AMD-BIN-0348,AMD-Z-19,2025-09-04,overnight_dumping
bin,AMD-BIN-0386,AMD-Z-21,2025-09-04,overnight_dumping
bin,AMD-BIN-0060,AMD-Z-03,2025-09-04,composition_shift
bin,AMD-BIN-0495,AMD-Z-28,2025-09-04,overnight_dumping
bin,AMD-BIN-0397,AMD-Z-22,2025-09-04,repeated_overflow
bin,AMD-BIN-0496,AMD-Z-28,2025-09-04,composition_shift
bin,AMD-BIN-0422,AMD-Z-23,2025-09-04,collection_gap
bin,AMD-BIN-0215,AMD-Z-11,2025-09-04,collection_gap
bin,AMD-BIN-0075,AMD-Z-04,2025-09-04,repeated_overflow
bin,AMD-BIN-0042,AMD-Z-02,2025-09-04,collection_gap
bin,AMD-BIN-0468,AMD-Z-26,2025-09-04,collection_gap
bin,AMD-BIN-0306,AMD-Z-17,2025-09-04,overnight_dumping
bin,AMD-BIN-0068,AMD-Z-04,2025-09-04,illegal_dumping_spike
bin,AMD-BIN-0120,AMD-Z-06,2025-09-04,composition_shift
bin,AMD-BIN-0385,AMD-Z-21,2025-09-04,illegal_dumping_spike
bin,AMD-BIN-0349,AMD-Z-19,2025-09-05,repeated_overflow
bin,AMD-BIN-0086,AMD-Z-04,2025-09-05,collection_gap
bin,AMD-BIN-0142,AMD-Z-08,2025-09-05,festival_overload
bin,AMD-BIN-0453,AMD-Z-25,2025-09-05,illegal_dumping_spike
bin,AMD-BIN-0356,AMD-Z-20,2025-09-05,repeated_overflow
bin,AMD-BIN-0538,AMD-Z-30,2025-09-05,collection_gap
bin,AMD-BIN-0563,AMD-Z-31,2025-09-05,repeated_overflow
bin,AMD-BIN-0060,AMD-Z-03,2025-09-05,composition_shift
bin,AMD-BIN-0397,AMD-Z-22,2025-09-05,repeated_overflow
bin,AMD-BIN-0422,AMD-Z-23,2025-09-05,collection_gap
bin,AMD-BIN-0215,AMD-Z-11,2025-09-05,collection_gap
bin,AMD-BIN-0075,AMD-Z-04,2025-09-05,repeated_overflow
bin,AMD-BIN-0230,AMD-Z-12,2025-09-05,repeated_overflow
bin,AMD-BIN-0306,AMD-Z-17,2025-09-05,overnight_dumping
bin,AMD-BIN-0233,AMD-Z-13,2025-09-05,festival_overload
bin,AMD-BIN-0360,AMD-Z-20,2025-09-05,overnight_dumping
bin,AMD-BIN-0283,AMD-Z-16,2025-09-05,composition_shift
bin,AMD-BIN-0097,AMD-Z-05,2025-09-05,repeated_overflow
bin,AMD-BIN-0120,AMD-Z-06,2025-09-05,composition_shift
bin,AMD-BIN-0349,AMD-Z-19,2025-09-06,repeated_overflow
bin,AMD-BIN-0086,AMD-Z-04,2025-09-06,collection_gap
bin,AMD-BIN-0555,AMD-Z-31,2025-09-06,repeated_overflow
bin,AMD-BIN-0370,AMD-Z-21,2025-09-06,weekend_spike
bin,AMD-BIN-0397,AMD-Z-22,2025-09-06,illegal_dumping_spike
bin,AMD-BIN-0356,AMD-Z-20,2025-09-06,repeated_overflow
bin,AMD-BIN-0563,AMD-Z-31,2025-09-06,repeated_overflow
bin,AMD-BIN-0576,AMD-Z-32,2025-09-06,composition_shift
bin,AMD-BIN-0215,AMD-Z-11,2025-09-06,collection_gap
