bin_id,zone_id,zone_name,latitude,longitude,ward,bin_type,capacity_kg,capacity_liters,waste_stream,installation_date,collection_frequency,nearby_landmark,population_density,commercial_density,residential_density,market_area,sensitive_location,data_type
AMD-BIN-0001,AMD-Z-01,Navrangpura,23.04066,72.557265,Navrangpura Ward,Community Bin,150,680,Recyclable,2025-04-14,daily,Mithakhali Six Roads,29243,88,53,0,0,synthetic
AMD-BIN-0002,AMD-Z-01,Navrangpura,23.039876,72.556984,Navrangpura Ward,Compactor Bin,1000,2500,Mixed,2021-12-31,daily,Sardar Patel Stadium Road,26672,78,49,0,1,synthetic
AMD-BIN-0003,AMD-Z-01,Navrangpura,23.040237,72.561256,Navrangpura Ward,Community Bin,150,380,Mixed,2024-07-15,daily,Mithakhali Six Roads,28831,87,44,0,0,synthetic
AMD-BIN-0004,AMD-Z-01,Navrangpura,23.041595,72.56157,Navrangpura Ward,Skip Container,1000,4550,Recyclable,2021-06-16,daily,Law Garden Corner,30677,80,49,1,0,synthetic
AMD-BIN-0005,AMD-Z-01,Navrangpura,23.040839,72.558493,Navrangpura Ward,Community Bin,150,380,Mixed,2021-01-29,daily,Navrangpura Bus Stand,31930,89,59,1,0,synthetic
AMD-BIN-0006,AMD-Z-01,Navrangpura,23.043398,72.55769,Navrangpura Ward,Litter Bin,150,270,Organic,2025-04-09,twice_daily,Navrangpura Bus Stand,29515,88,44,0,0,synthetic
AMD-BIN-0007,AMD-Z-01,Navrangpura,23.037802,72.555329,Navrangpura Ward,Community Bin,500,910,Organic,2022-03-21,daily,Navrangpura Bus Stand,30550,84,60,0,0,synthetic
AMD-BIN-0008,AMD-Z-01,Navrangpura,23.041883,72.559541,Navrangpura Ward,Skip Container,1000,2860,Commercial,2019-09-16,alternate_day,Mithakhali Six Roads,29073,84,54,0,0,synthetic
AMD-BIN-0009,AMD-Z-01,Navrangpura,23.036323,72.555866,Navrangpura Ward,Skip Container,500,1430,Commercial,2022-07-18,alternate_day,Sardar Patel Stadium Road,25598,94,53,0,0,synthetic
AMD-BIN-0010,AMD-Z-01,Navrangpura,23.037392,72.558174,Navrangpura Ward,Skip Container,500,1250,Mixed,2020-03-12,alternate_day,Gujarat University Gate,29521,86,51,0,1,synthetic
AMD-BIN-0011,AMD-Z-01,Navrangpura,23.039079,72.560033,Navrangpura Ward,Community Bin,500,1250,Mixed,2024-07-07,twice_daily,Navrangpura Bus Stand,29279,92,51,0,0,synthetic
AMD-BIN-0012,AMD-Z-01,Navrangpura,23.037512,72.560043,Navrangpura Ward,Community Bin,500,2270,Recyclable,2019-05-11,daily,Gujarat University Gate,28974,87,51,0,0,synthetic
