vehicle_id,vehicle_type,capacity_kg,current_load_kg,available_capacity_kg,current_latitude,current_longitude,home_depot,status,fuel_type,average_speed_kmph,data_type
AMD-VEH-001,Dumper Placer,5000,3101.0,1899.0,23.056928,72.648246,DEP-NARODA,IDLE,CNG,22.4,synthetic
AMD-VEH-002,Compactor Truck,7000,3111.1,3888.9,23.094975,72.540807,DEP-GOTA,ACTIVE,Diesel,20.2,synthetic
AMD-VEH-003,Mini Tipper,2000,796.6,1203.4,23.085472,72.644612,DEP-NARODA,IDLE,Diesel,26.7,synthetic
AMD-VEH-004,Hopper Tipper,2000,0.0,2000.0,22.980643,72.559919,DEP-GYASPUR,OFF_DUTY,CNG,27.2,synthetic
AMD-VEH-005,Compactor Truck,10000,5769.2,4230.8,23.087212,72.7027,DEP-NARODA,ACTIVE,Diesel,20.6,synthetic
AMD-VEH-006,Refuse Collector,5000,3974.8,1025.2,22.987107,72.585984,DEP-GYASPUR,ACTIVE,CNG,15.7,synthetic
AMD-VEH-007,Mini Tipper,2000,1261.1,738.9,23.058377,72.60874,DEP-NARODA,IDLE,Diesel,26.7,synthetic
AMD-VEH-008,Mini Tipper,1000,301.4,698.6,22.956674,72.583034,DEP-GYASPUR,ACTIVE,CNG,26.7,synthetic
AMD-VEH-009,Hopper Tipper,3000,931.7,2068.3,23.004614,72.517622,DEP-VASNA,ACTIVE,CNG,25.2,synthetic
AMD-VEH-010,Dumper Placer,3000,1242.4,1757.6,23.059444,72.621859,DEP-NARODA,ACTIVE,Diesel,20.3,synthetic
AMD-VEH-011,Hopper Tipper,3000,0.0,3000.0,23.0124,72.688092,DEP-VASTRAL,OFF_DUTY,Diesel,23.6,synthetic
AMD-VEH-012,Dumper Placer,5000,3537.8,1462.2,23.100503,72.540716,DEP-GOTA,ACTIVE,Diesel,19.4,synthetic
AMD-VEH-013,Mini Tipper,2000,703.6,1296.4,23.097085,72.525607,DEP-GOTA,ACTIVE,Diesel,23.1,synthetic
AMD-VEH-014,Mini Tipper,2000,1513.7,486.3,22.98168,72.617626,DEP-PIRANA,IDLE,Diesel,26.1,synthetic
AMD-VEH-015,Hopper Tipper,2000,1268.4,731.6,22.972782,72.591107,DEP-GYASPUR,IDLE,CNG,26.2,synthetic
AMD-VEH-016,Dumper Placer,5000,3239.8,1760.2,22.959149,72.598327,DEP-PIRANA,ACTIVE,Diesel,20.7,synthetic
AMD-VEH-017,Refuse Collector,7000,0.0,7000.0,22.985801,72.599796,DEP-PIRANA,OFF_DUTY,Diesel,23.0,synthetic
AMD-VEH-018,Mini Tipper,1000,687.5,312.5,23.095324,72.679368,DEP-NARODA,ACTIVE,Diesel,22.3,synthetic
AMD-VEH-019,Dumper Placer,5000,2286.1,2713.9,23.006882,72.55307,DEP-VASNA,ACTIVE,Diesel,20.1,synthetic
AMD-VEH-020,Hopper Tipper,2000,0.0,2000.0,23.086841,72.535696,DEP-GOTA,MAINTENANCE,CNG,25.7,synthetic
AMD-VEH-021,Refuse Collector,5000,1278.7,3721.3,23.072497,72.654502,DEP-NARODA,IDLE,Diesel,22.2,synthetic
AMD-VEH-022,Mini Tipper,1000,255.6,744.4,22.945987,72.567229,DEP-GYASPUR,ACTIVE,CNG,26.6,synthetic
AMD-VEH-023,Compactor Truck,10000,3067.6,6932.4,23.026652,72.669655,DEP-VASTRAL,ACTIVE,CNG,17.5,synthetic
