composition_id,bin_id,zone_id,zone_name,timestamp,date,waste_stream,plastic_percentage,paper_percentage,metal_percentage,glass_percentage,organic_percentage,other_percentage,total_waste_kg,collection_id,composition_source,confidence,split
AMD-COMP-047519,AMD-BIN-0524,AMD-Z-29,Shahpur,2025-09-01 00:05:40,2025-09-01,Organic,3.43,1.65,0.05,1.22,88.47,5.18,892.14,AMD-COL-0222699,image_classifier,0.912,train
AMD-COMP-006460,AMD-BIN-0071,AMD-Z-04,Bodakdev,2025-09-01 00:06:54,2025-09-01,Commercial,30.2,27.07,2.34,2.97,23.59,13.83,32.96,AMD-COL-0030784,image_classifier,0.791,train
AMD-COMP-026986,AMD-BIN-0311,AMD-Z-17,Isanpur,2025-09-01 00:09:35,2025-09-01,Organic,2.35,0.05,1.8,0.05,81.66,14.09,175.26,AMD-COL-0127111,sensor_estimate,0.714,train
AMD-COMP-028836,AMD-BIN-0334,AMD-Z-19,Vastral,2025-09-01 00:10:37,2025-09-01,Mixed,9.19,5.29,4.45,1.65,63.59,15.83,32.83,AMD-COL-0135814,image_classifier,0.785,train
AMD-COMP-002044,AMD-BIN-0023,AMD-Z-01,Navrangpura,2025-09-01 00:11:23,2025-09-01,Dry,28.78,34.83,10.3,4.85,2.74,18.5,70.75,AMD-COL-0009672,sensor_estimate,0.784,train
AMD-COMP-027560,AMD-BIN-0318,AMD-Z-18,Nikol,2025-09-01 00:12:29,2025-09-01,Mixed,17.85,5.43,5.71,2.49,60.38,8.14,87.89,AMD-COL-0129889,manual_audit,0.872,train
AMD-COMP-006826,AMD-BIN-0074,AMD-Z-04,Bodakdev,2025-09-01 00:15:57,2025-09-01,Organic,15.02,6.45,3.51,0.9,68.02,6.1,97.19,AMD-COL-0032603,image_classifier,0.915,train
AMD-COMP-033642,AMD-BIN-0380,AMD-Z-21,Odhav,2025-09-01 00:17:07,2025-09-01,Organic,18.42,7.9,0.69,0.05,53.77,19.17,76.35,AMD-COL-0158148,image_classifier,0.869,train
AMD-COMP-004576,AMD-BIN-0053,AMD-Z-03,Satellite,2025-09-01 00:17:19,2025-09-01,Organic,8.89,14.02,1.26,3.51,66.65,5.67,61.21,AMD-COL-0021634,image_classifier,0.841,train
AMD-COMP-037056,AMD-BIN-0419,AMD-Z-23,Ranip,2025-09-01 00:17:56,2025-09-01,Organic,10.28,6.32,0.05,0.05,76.64,6.66,305.91,AMD-COL-0174010,sensor_estimate,0.778,train
AMD-COMP-007363,AMD-BIN-0079,AMD-Z-04,Bodakdev,2025-09-01 00:18:12,2025-09-01,Commercial,22.45,37.52,0.05,10.43,21.79,7.76,142.01,AMD-COL-0035234,image_classifier,0.75,train
AMD-COMP-043394,AMD-BIN-0490,AMD-Z-27,CG Road,2025-09-01 00:18:29,2025-09-01,Mixed,30.12,21.06,3.39,4.52,22.44,18.47,428.35,AMD-COL-0203276,manual_audit,0.865,train
AMD-COMP-012308,AMD-BIN-0136,AMD-Z-07,Bopal,2025-09-01 00:20:34,2025-09-01,Organic,9.54,5.11,0.05,0.05,80.23,5.02,43.22,AMD-COL-0058486,manual_audit,0.927,train
AMD-COMP-052995,AMD-BIN-0568,AMD-Z-31,Dariyapur,2025-09-01 00:27:38,2025-09-01,Organic,0.05,0.05,3.32,0.55,87.47,8.56,273.71,AMD-COL-0248927,image_classifier,0.867,train
AMD-COMP-018007,AMD-BIN-0205,AMD-Z-11,Maninagar,2025-09-01 00:28:05,2025-09-01,Organic,4.6,3.78,0.05,3.75,87.77,0.05,494.91,AMD-COL-0084986,image_classifier,0.953,train
AMD-COMP-039179,AMD-BIN-0445,AMD-Z-25,Ellis Bridge,2025-09-01 00:29:13,2025-09-01,Recyclable,36.66,40.62,7.18,12.55,0.46,2.53,252.06,AMD-COL-0183550,image_classifier,0.914,train
AMD-COMP-023873,AMD-BIN-0272,AMD-Z-15,Naranpura,2025-09-01 00:30:23,2025-09-01,Organic,0.68,0.05,1.56,2.28,88.7,6.73,95.98,AMD-COL-0112838,image_classifier,0.802,train
AMD-COMP-046180,AMD-BIN-0513,AMD-Z-28,Relief Road,2025-09-01 00:30:37,2025-09-01,Organic,0.39,1.16,0.05,0.05,86.33,12.02,121.1,AMD-COL-0216374,sensor_estimate,0.712,train
AMD-COMP-033481,AMD-BIN-0379,AMD-Z-21,Odhav,2025-09-01 00:31:05,2025-09-01,Recyclable,28.93,18.9,15.53,18.79,2.82,15.03,497.64,AMD-COL-0157417,image_classifier,0.714,train
AMD-COMP-038945,AMD-BIN-0443,AMD-Z-25,Ellis Bridge,2025-09-01 00:33:09,2025-09-01,Commercial,19.83,40.48,5.29,5.36,20.81,8.23,314.58,AMD-COL-0182439,image_classifier,0.938,train
AMD-COMP-041490,AMD-BIN-0470,AMD-Z-26,Ashram Road,2025-09-01 00:34:46,2025-09-01,Organic,11.71,12.68,0.05,2.96,62.82,9.78,66.39,AMD-COL-0194597,image_classifier,0.812,train
AMD-COMP-046810,AMD-BIN-0518,AMD-Z-29,Shahpur,2025-09-01 00:34:47,2025-09-01,Organic,4.79,2.41,0.05,0.05,91.4,1.3,345.37,AMD-COL-0219339,image_classifier,0.816,train
AMD-COMP-046346,AMD-BIN-0514,AMD-Z-28,Relief Road,2025-09-01 00:37:12,2025-09-01,Organic,0.05,0.8,2.84,0.05,88.96,7.3,154.96,AMD-COL-0217102,manual_audit,0.873,train
AMD-COMP-017053,AMD-BIN-0197,AMD-Z-11,Maninagar,2025-09-01 00:37:20,2025-09-01,Commercial,17.57,6.24,2.4,0.78,62.88,10.13,73.0,AMD-COL-0080524,image_classifier,0.878,train
AMD-COMP-049423,AMD-BIN-0539,AMD-Z-30,Jamalpur,2025-09-01 00:42:45,2025-09-01,Mixed,2.51,4.45,0.45,7.7,84.65,0.24,674.8,AMD-COL-0231941,sensor_estimate,0.787,train
AMD-COMP-050042,AMD-BIN-0543,AMD-Z-30,Jamalpur,2025-09-01 00:43:33,2025-09-01,Organic,4.66,2.27,1.3,2.33,76.62,12.82,765.8,AMD-COL-0234867,manual_audit,0.875,train
AMD-COMP-019452,AMD-BIN-0217,AMD-Z-12,Paldi,2025-09-01 00:44:21,2025-09-01,Organic,2.28,1.14,0.5,0.74,89.82,5.52,86.92,AMD-COL-0091745,image_classifier,0.776,train
AMD-COMP-049203,AMD-BIN-0537,AMD-Z-30,Jamalpur,2025-09-01 00:44:37,2025-09-01,Mixed,7.55,1.35,2.43,3.37,73.02,12.28,64.28,AMD-COL-0230835,manual_audit,0.976,train
AMD-COMP-051703,AMD-BIN-0557,AMD-Z-31,Dariyapur,2025-09-01 00:45:07,2025-09-01,Organic,0.39,0.05,2.14,0.6,94.42,2.4,483.2,AMD-COL-0242828,manual_audit,0.963,train
AMD-COMP-047679,AMD-BIN-0525,AMD-Z-29,Shahpur,2025-09-01 00:48:12,2025-09-01,Commercial,13.37,19.45,1.79,3.09,50.56,11.74,315.07,AMD-COL-0223434,image_classifier,0.857,train
AMD-COMP-011985,AMD-BIN-0132,AMD-Z-07,Bopal,2025-09-01 00:48:50,2025-09-01,Mixed,12.13,10.33,0.6,0.05,67.53,9.36,26.68,AMD-COL-0056868,image_classifier,0.792,train
