record_id,date,zone_id,zone_name,total_waste_kg,organic_waste_kg,plastic_waste_kg,paper_waste_kg,metal_waste_kg,glass_waste_kg,other_waste_kg,number_of_active_bins,average_bin_fill_percentage,overflow_count,collection_count,population_density,commercial_density,market_activity_level,holiday_flag,festival_flag,event_activity_level,rainfall_mm,temperature_c,avg_daily_generation_kg_14d,split
AMD-ZW-000001,2025-09-01,AMD-Z-01,Navrangpura,7527.52,2060.38,1896.59,2102.31,258.1,425.23,784.91,23,46.05,1,28,28500,88,3.02,0,1,1,0.0,29.5,7527.52,train
AMD-ZW-000002,2025-09-01,AMD-Z-02,Vastrapur,4796.75,1716.56,1098.29,835.3,189.07,263.48,694.05,21,42.14,1,20,24200,72,2.19,0,1,1,0.0,29.5,4796.75,train
AMD-ZW-000003,2025-09-01,AMD-Z-03,Satellite,9412.18,1489.63,2852.74,3139.98,453.31,625.36,851.16,23,49.94,1,31,26800,80,3.04,0,1,1,0.0,29.5,9412.18,train
AMD-ZW-000004,2025-09-01,AMD-Z-04,Bodakdev,6557.3,1923.0,1613.94,1629.62,258.38,430.38,701.99,19,43.92,0,28,21900,76,3.0,0,1,1,0.0,29.5,6557.3,train
AMD-ZW-000005,2025-09-01,AMD-Z-05,Prahlad Nagar,5814.76,1490.4,1505.15,1651.37,195.2,362.48,610.16,19,48.04,0,20,23100,84,2.99,0,1,1,0.0,29.5,5814.76,train
AMD-ZW-000006,2025-09-01,AMD-Z-06,Thaltej,1096.13,678.25,136.03,87.47,25.24,14.93,154.21,18,42.45,3,17,20400,58,1.71,0,1,1,0.0,29.5,1096.13,train
AMD-ZW-000007,2025-09-01,AMD-Z-07,Bopal,1479.06,743.44,236.37,216.04,35.2,43.79,204.22,17,41.94,0,20,17600,44,1.68,0,1,1,0.0,29.5,1479.06,train
AMD-ZW-000008,2025-09-01,AMD-Z-08,Gota,1915.66,1118.98,227.9,165.71,42.73,45.88,314.45,17,41.9,1,20,19800,46,1.68,0,1,1,0.0,29.5,1915.66,train
AMD-ZW-000009,2025-09-01,AMD-Z-09,Chandkheda,1705.28,890.0,280.11,169.56,40.85,55.79,268.98,18,44.84,0,16,22700,48,1.78,0,1,1,0.0,29.5,1705.28,train
AMD-ZW-000010,2025-09-01,AMD-Z-10,Motera,2061.01,1101.37,325.56,204.5,62.87,78.21,288.49,17,47.57,1,15,21300,52,1.76,0,1,1,0.0,29.5,2061.01,train
AMD-ZW-000011,2025-09-01,AMD-Z-11,Maninagar,13396.04,9765.9,1360.96,889.59,143.15,290.7,945.75,23,52.06,4,35,35200,82,4.4,0,1,1,0.0,29.5,13396.04,train
AMD-ZW-000012,2025-09-01,AMD-Z-12,Paldi,1925.91,1058.06,298.82,192.15,65.81,43.25,267.83,17,45.93,0,13,26400,56,1.63,0,1,1,0.0,29.5,1925.91,train
AMD-ZW-000013,2025-09-01,AMD-Z-13,Vasna,2255.47,928.94,499.14,319.93,64.57,53.85,389.03,17,46.76,2,18,29100,48,1.88,0,1,1,0.0,29.5,2255.47,train
AMD-ZW-000014,2025-09-01,AMD-Z-14,Shahibaug,5635.13,2218.38,1090.12,1038.96,259.28,274.63,753.76,16,48.61,0,19,27300,62,2.39,0,1,1,0.0,29.5,5635.13,train
AMD-ZW-000015,2025-09-01,AMD-Z-15,Naranpura,1581.75,935.24,234.71,128.21,40.08,42.26,201.25,17,48.68,1,17,28900,58,1.74,0,1,1,0.0,29.5,1581.75,train
AMD-ZW-000016,2025-09-01,AMD-Z-16,Memnagar,1709.25,1107.57,188.27,129.46,23.82,36.61,223.52,16,45.82,2,15,25600,54,1.81,0,1,1,0.0,29.5,1709.25,train
AMD-ZW-000017,2025-09-01,AMD-Z-17,Isanpur,2049.34,1308.23,190.77,129.6,31.02,64.0,325.72,16,50.37,1,16,31400,46,1.81,0,1,1,0.0,29.5,2049.34,train
AMD-ZW-000018,2025-09-01,AMD-Z-18,Nikol,2820.79,1638.05,391.61,284.05,66.02,88.88,352.17,18,48.27,1,18,33800,50,1.78,0,1,1,0.0,29.5,2820.79,train
AMD-ZW-000019,2025-09-01,AMD-Z-19,Vastral,1884.95,1162.22,280.25,131.26,31.06,42.38,237.78,17,45.47,2,18,32600,48,1.72,0,1,1,0.0,29.5,1884.95,train
AMD-ZW-000020,2025-09-01,AMD-Z-20,Naroda,11575.32,1860.46,2934.97,2375.68,1374.75,894.98,2134.48,20,46.58,2,32,30200,68,2.3,0,1,1,0.0,29.5,11575.32,train
AMD-ZW-000021,2025-09-01,AMD-Z-21,Odhav,7927.94,1421.88,1829.16,1308.18,964.76,654.04,1749.92,18,47.53,1,21,28700,64,2.04,0,1,1,0.0,29.5,7927.94,train
AMD-ZW-000022,2025-09-01,AMD-Z-22,Vatva,7196.44,1497.55,1960.28,1180.48,698.15,532.64,1327.35,19,43.93,0,24,29500,66,1.95,0,1,1,0.0,29.5,7196.44,train
AMD-ZW-000023,2025-09-01,AMD-Z-23,Ranip,1942.99,1337.91,222.88,122.91,20.12,49.99,189.18,16,44.7,1,12,27800,50,1.64,0,1,1,0.0,29.5,1942.99,train
AMD-ZW-000024,2025-09-01,AMD-Z-24,Sabarmati,1584.49,1055.08,181.33,103.55,22.56,37.33,184.66,16,48.76,1,16,26100,54,1.75,0,1,1,0.0,29.5,1584.49,train
AMD-ZW-000025,2025-09-01,AMD-Z-25,Ellis Bridge,7213.56,1647.6,1769.36,2289.39,329.69,457.98,719.53,16,51.23,2,18,24900,82,3.17,0,1,1,0.0,29.5,7213.56,train
AMD-ZW-000026,2025-09-01,AMD-Z-26,Ashram Road,9229.93,1744.83,2910.88,2298.09,510.99,649.87,1115.26,18,57.04,4,21,23400,90,3.0,0,1,1,0.0,29.5,9229.93,train
AMD-ZW-000027,2025-09-01,AMD-Z-27,CG Road,8706.38,2714.88,2200.28,1928.08,322.6,525.04,1015.51,20,49.31,1,23,22800,94,2.88,0,1,1,0.0,29.5,8706.38,train
AMD-ZW-000028,2025-09-01,AMD-Z-28,Relief Road,12173.08,8727.32,1299.49,779.24,119.29,302.68,945.05,22,53.09,6,34,37600,90,4.39,0,1,1,0.0,29.5,12173.08,train
AMD-ZW-000029,2025-09-01,AMD-Z-29,Shahpur,10816.63,7957.22,1036.76,622.92,111.47,196.91,891.35,17,52.42,4,26,34800,74,4.25,0,1,1,0.0,29.5,10816.63,train
AMD-ZW-000030,2025-09-01,AMD-Z-30,Jamalpur,15942.79,11747.18,1414.73,862.67,99.28,586.21,1232.72,21,52.03,3,33,36900,86,4.39,0,1,1,0.0,29.5,15942.79,train
AMD-ZW-000031,2025-09-01,AMD-Z-31,Dariyapur,11755.33,8984.4,747.07,694.77,182.04,283.28,863.76,16,49.26,1,26,35100,70,4.45,0,1,1,0.0,29.5,11755.33,train
AMD-ZW-000032,2025-09-01,AMD-Z-32,Saraspur,6178.33,711.13,1788.41,1389.28,813.47,455.87,1020.16,16,41.69,1,20,31200,60,1.95,0,1,1,0.0,29.5,6178.33,train
AMD-ZW-000033,2025-09-01,AMD-Z-33,Wadaj,2138.67,1180.96,369.17,214.66,63.05,67.0,243.83,16,45.89,0,15,28300,52,1.66,0,1,1,0.0,29.5,2138.67,train
