image_id,filename,relative_path,orig_split,width,height,mode,dominant_class_id,class_name,waste_stream,split
0,img_0.png,data\DSWD\DSWD\Train\Image\img_0.png,Train,448,448,RGB,5,Plastic cardboard,Plastic,test
1,img_1.png,data\DSWD\DSWD\Train\Image\img_1.png,Train,448,448,RGB,5,Plastic cardboard,Plastic,train
1011,img_1011.png,data\DSWD\DSWD\Train\Image\img_1011.png,Train,448,448,RGB,0,Other,Other,test
1023,img_1023.png,data\DSWD\DSWD\Train\Image\img_1023.png,Train,448,448,RGB,11,Paper cup,Paper,train
1036,img_1036.png,data\DSWD\DSWD\Train\Image\img_1036.png,Train,448,448,RGB,5,Plastic cardboard,Plastic,train
1050,img_1050.png,data\DSWD\DSWD\Train\Image\img_1050.png,Train,448,448,RGB,3,Thermocol,Plastic,validation
1051,img_1051.png,data\DSWD\DSWD\Train\Image\img_1051.png,Train,448,448,RGB,0,Other,Other,test
1053,img_1053.png,data\DSWD\DSWD\Train\Image\img_1053.png,Train,448,448,RGB,3,Thermocol,Plastic,validation
1056,img_1056.png,data\DSWD\DSWD\Train\Image\img_1056.png,Train,448,448,RGB,3,Thermocol,Plastic,train
1060,img_1060.png,data\DSWD\DSWD\Train\Image\img_1060.png,Train,448,448,RGB,0,Other,Other,train
1065,img_1065.png,data\DSWD\DSWD\Train\Image\img_1065.png,Train,448,448,RGB,0,Other,Other,train
108,img_108.png,data\DSWD\DSWD\Train\Image\img_108.png,Train,448,448,RGB,12,Aluminium foil,Metal,train
1086,img_1086.png,data\DSWD\DSWD\Train\Image\img_1086.png,Train,448,448,RGB,0,Other,Other,validation
1095,img_1095.png,data\DSWD\DSWD\Train\Image\img_1095.png,Train,448,448,RGB,0,Other,Other,train
1105,img_1105.png,data\DSWD\DSWD\Train\Image\img_1105.png,Train,448,448,RGB,3,Thermocol,Plastic,train
111,img_111.png,data\DSWD\DSWD\Train\Image\img_111.png,Train,448,448,RGB,12,Aluminium foil,Metal,train
1116,img_1116.png,data\DSWD\DSWD\Train\Image\img_1116.png,Train,448,448,RGB,0,Other,Other,train
1128,img_1128.png,data\DSWD\DSWD\Train\Image\img_1128.png,Train,448,448,RGB,3,Thermocol,Plastic,train
1141,img_1141.png,data\DSWD\DSWD\Train\Image\img_1141.png,Train,448,448,RGB,3,Thermocol,Plastic,train
115,img_115.png,data\DSWD\DSWD\Train\Image\img_115.png,Train,448,448,RGB,0,Other,Other,train
1155,img_1155.png,data\DSWD\DSWD\Train\Image\img_1155.png,Train,448,448,RGB,5,Plastic cardboard,Plastic,test
1156,img_1156.png,data\DSWD\DSWD\Train\Image\img_1156.png,Train,448,448,RGB,5,Plastic cardboard,Plastic,train
1158,img_1158.png,data\DSWD\DSWD\Train\Image\img_1158.png,Train,448,448,RGB,3,Thermocol,Plastic,train
1170,img_1170.png,data\DSWD\DSWD\Train\Image\img_1170.png,Train,448,448,RGB,3,Thermocol,Plastic,train
