Algorithm,Configuration,Precision,Recall,F1_Score,PR_AUC,ROC_AUC,Test_Detections
IsolationForest,contamination=0.005,0.375,0.375,0.375,0.5822,0.998,8
IsolationForest,contamination=0.006,0.4444,0.5,0.4706,0.5822,0.998,9
IsolationForest,contamination=0.008,0.4444,0.5,0.4706,0.5822,0.998,9
IsolationForest,contamination=0.01,0.5,0.625,0.5556,0.5822,0.998,10
IsolationForest,contamination=0.015,0.4706,1.0,0.64,0.5822,0.998,17
IsolationForest,contamination=0.02,0.3636,1.0,0.5333,0.5822,0.998,22
IsolationForest,contamination=0.03,0.2222,1.0,0.3636,0.5822,0.998,36
IsolationForest,contamination=0.05,0.1176,1.0,0.2105,0.5822,0.998,68
LocalOutlierFactor,"n_neighbors=15, c=0.008",0.0231,0.625,0.0446,0.0703,0.8017,216
LocalOutlierFactor,"n_neighbors=20, c=0.008",0.0251,0.625,0.0483,0.1382,0.8639,199
LocalOutlierFactor,"n_neighbors=30, c=0.008",0.0272,0.625,0.0521,0.225,0.9295,184
Supervised_HistGBM_Calibrated,threshold=0.140 (tuned on Val),0.4706,1.0,0.64,1.0,1.0,17
